"Fact","Fact Note","Alameda County, California","Value Note for Alameda County, California"
"Population estimates, July 1, 2019,  (V2019)","","1,671,329",""
"Population estimates base, April 1, 2010,  (V2019)","","1,510,258",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","10.7%",""
"Population, Census, April 1, 2010","","1,510,271",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","14.3%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","49.3%",""
"Black or African American alone, percent","(a)","11.0%",""
"American Indian and Alaska Native alone, percent","(a)","1.1%",""
"Asian alone, percent","(a)","32.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.9%",""
"Two or More Races, percent","","5.4%",""
"Hispanic or Latino, percent","(b)","22.3%",""
"White alone, not Hispanic or Latino, percent","","30.6%",""
"Veterans, 2015-2019","","48,602",""
"Foreign born persons, percent, 2015-2019","","32.5%",""
"Housing units,  July 1, 2019,  (V2019)","","622,922",""
"Owner-occupied housing unit rate, 2015-2019","","53.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$769,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,931",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$690",""
"Median gross rent, 2015-2019","","$1,797",""
"Building permits, 2019","","6,402",""
"Households, 2015-2019","","577,177",""
"Persons per household, 2015-2019","","2.82",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","45.6%",""
"Households with a computer, percent, 2015-2019","","94.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","88.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","88.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","47.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","5.6%",""
"Persons  without health insurance, under age 65 years, percent","","5.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","67.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","61.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","3,192,420",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","12,949,087",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","37,580,614",""
"Total retail sales, 2012 ($1,000)","(c)","20,901,014",""
"Total retail sales per capita, 2012","(c)","$13,444",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","34.3",""
"Median household income (in 2019 dollars), 2015-2019","","$99,406",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$47,314",""
"Persons in poverty, percent","","8.9%",""
"Total employer establishments, 2018","","40,508",""
"Total employment, 2018","","698,915",""
"Total annual payroll, 2018 ($1,000)","","51,985,434",""
"Total employment, percent change, 2017-2018","","1.2%",""
"Total nonemployer establishments, 2018","","150,445",""
"All firms, 2012","","150,564",""
"Men-owned firms, 2012","","76,387",""
"Women-owned firms, 2012","","57,305",""
"Minority-owned firms, 2012","","75,026",""
"Nonminority-owned firms, 2012","","69,300",""
"Veteran-owned firms, 2012","","10,213",""
"Nonveteran-owned firms, 2012","","134,032",""
"Population per square mile, 2010","","2,043.6",""
"Land area in square miles, 2010","","739.02",""
"FIPS Code","","""06001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
