"Fact","Fact Note","Amador County, California","Value Note for Amador County, California"
"Population estimates, July 1, 2019,  (V2019)","","39,752",""
"Population estimates base, April 1, 2010,  (V2019)","","38,091",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","4.4%",""
"Population, Census, April 1, 2010","","38,091",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","15.1%",""
"Persons 65 years and over, percent","","27.5%",""
"Female persons, percent","","45.6%",""
"White alone, percent","","89.6%",""
"Black or African American alone, percent","(a)","2.7%",""
"American Indian and Alaska Native alone, percent","(a)","2.3%",""
"Asian alone, percent","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.4%",""
"Hispanic or Latino, percent","(b)","14.5%",""
"White alone, not Hispanic or Latino, percent","","77.3%",""
"Veterans, 2015-2019","","3,810",""
"Foreign born persons, percent, 2015-2019","","6.0%",""
"Housing units,  July 1, 2019,  (V2019)","","18,625",""
"Owner-occupied housing unit rate, 2015-2019","","76.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$313,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,774",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$561",""
"Median gross rent, 2015-2019","","$1,103",""
"Building permits, 2019","","119",""
"Households, 2015-2019","","14,594",""
"Persons per household, 2015-2019","","2.38",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","10.6%",""
"Households with a computer, percent, 2015-2019","","90.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","19.3%",""
"With a disability, under age 65 years, percent, 2015-2019","","12.6%",""
"Persons  without health insurance, under age 65 years, percent","","6.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","44.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","45.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","242,022",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","147,701",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","139,631",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","321,498",""
"Total retail sales per capita, 2012","(c)","$8,681",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","32.7",""
"Median household income (in 2019 dollars), 2015-2019","","$62,772",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$31,987",""
"Persons in poverty, percent","","9.8%",""
"Total employer establishments, 2018","","831",""
"Total employment, 2018","","8,205",""
"Total annual payroll, 2018 ($1,000)","","322,707",""
"Total employment, percent change, 2017-2018","","0.1%",""
"Total nonemployer establishments, 2018","","2,835",""
"All firms, 2012","","2,807",""
"Men-owned firms, 2012","","1,383",""
"Women-owned firms, 2012","","921",""
"Minority-owned firms, 2012","","259",""
"Nonminority-owned firms, 2012","","2,453",""
"Veteran-owned firms, 2012","","258",""
"Nonveteran-owned firms, 2012","","2,363",""
"Population per square mile, 2010","","64.1",""
"Land area in square miles, 2010","","594.58",""
"FIPS Code","","""06005""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
