"Fact","Fact Note","Del Norte County, California","Value Note for Del Norte County, California"
"Population estimates, July 1, 2019,  (V2019)","","27,812",""
"Population estimates base, April 1, 2010,  (V2019)","","28,610",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-2.8%",""
"Population, Census, April 1, 2010","","28,610",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","20.9%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","45.4%",""
"White alone, percent","","78.1%",""
"Black or African American alone, percent","(a)","3.5%",""
"American Indian and Alaska Native alone, percent","(a)","9.7%",""
"Asian alone, percent","(a)","3.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","5.4%",""
"Hispanic or Latino, percent","(b)","20.1%",""
"White alone, not Hispanic or Latino, percent","","62.0%",""
"Veterans, 2015-2019","","2,048",""
"Foreign born persons, percent, 2015-2019","","7.6%",""
"Housing units,  July 1, 2019,  (V2019)","","11,434",""
"Owner-occupied housing unit rate, 2015-2019","","63.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$218,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,400",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$437",""
"Median gross rent, 2015-2019","","$878",""
"Building permits, 2019","","30",""
"Households, 2015-2019","","9,945",""
"Persons per household, 2015-2019","","2.47",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","82.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","12.1%",""
"Households with a computer, percent, 2015-2019","","89.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","79.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","14.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","14.6%",""
"Persons  without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","44.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","47.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","32,299",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","121,283",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","41,171",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","192,759",""
"Total retail sales per capita, 2012","(c)","$6,814",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","14.5",""
"Median household income (in 2019 dollars), 2015-2019","","$45,283",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$23,674",""
"Persons in poverty, percent","","17.9%",""
"Total employer establishments, 2018","","401",""
"Total employment, 2018","","4,074",""
"Total annual payroll, 2018 ($1,000)","","139,160",""
"Total employment, percent change, 2017-2018","","0.6%",""
"Total nonemployer establishments, 2018","","1,326",""
"All firms, 2012","","1,686",""
"Men-owned firms, 2012","","727",""
"Women-owned firms, 2012","","578",""
"Minority-owned firms, 2012","","241",""
"Nonminority-owned firms, 2012","","1,367",""
"Veteran-owned firms, 2012","","257",""
"Nonveteran-owned firms, 2012","","1,295",""
"Population per square mile, 2010","","28.4",""
"Land area in square miles, 2010","","1,006.37",""
"FIPS Code","","""06015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
