"Fact","Fact Note","Fresno County, California","Value Note for Fresno County, California"
"Population estimates, July 1, 2019,  (V2019)","","999,101",""
"Population estimates base, April 1, 2010,  (V2019)","","930,507",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","7.4%",""
"Population, Census, April 1, 2010","","930,450",""
"Persons under 5 years, percent","","7.6%",""
"Persons under 18 years, percent","","28.2%",""
"Persons 65 years and over, percent","","12.6%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","76.6%",""
"Black or African American alone, percent","(a)","5.8%",""
"American Indian and Alaska Native alone, percent","(a)","3.0%",""
"Asian alone, percent","(a)","11.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent","(b)","53.8%",""
"White alone, not Hispanic or Latino, percent","","28.6%",""
"Veterans, 2015-2019","","36,125",""
"Foreign born persons, percent, 2015-2019","","21.2%",""
"Housing units,  July 1, 2019,  (V2019)","","336,473",""
"Owner-occupied housing unit rate, 2015-2019","","53.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$255,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,631",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$484",""
"Median gross rent, 2015-2019","","$998",""
"Building permits, 2019","","3,393",""
"Households, 2015-2019","","307,906",""
"Persons per household, 2015-2019","","3.14",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","85.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","44.6%",""
"Households with a computer, percent, 2015-2019","","89.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","80.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","76.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","21.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.2%",""
"Persons  without health insurance, under age 65 years, percent","","8.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","60.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","55.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,226,169",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","5,325,615",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","8,658,325",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","9,266,337",""
"Total retail sales, 2012 ($1,000)","(c)","9,117,752",""
"Total retail sales per capita, 2012","(c)","$9,619",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","23.1",""
"Median household income (in 2019 dollars), 2015-2019","","$53,969",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$24,422",""
"Persons in poverty, percent","","20.5%",""
"Total employer establishments, 2018","","17,118",""
"Total employment, 2018","","270,631",""
"Total annual payroll, 2018 ($1,000)","","11,841,989",""
"Total employment, percent change, 2017-2018","","3.4%",""
"Total nonemployer establishments, 2018","","55,668",""
"All firms, 2012","","59,569",""
"Men-owned firms, 2012","","30,341",""
"Women-owned firms, 2012","","22,727",""
"Minority-owned firms, 2012","","30,912",""
"Nonminority-owned firms, 2012","","26,343",""
"Veteran-owned firms, 2012","","4,556",""
"Nonveteran-owned firms, 2012","","51,988",""
"Population per square mile, 2010","","156.2",""
"Land area in square miles, 2010","","5,957.99",""
"FIPS Code","","""06019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
