"Fact","Fact Note","Glenn County, California","Value Note for Glenn County, California"
"Population estimates, July 1, 2019,  (V2019)","","28,393",""
"Population estimates base, April 1, 2010,  (V2019)","","28,122",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","1.0%",""
"Population, Census, April 1, 2010","","28,122",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","26.6%",""
"Persons 65 years and over, percent","","15.8%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","89.1%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","3.2%",""
"Asian alone, percent","(a)","3.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent","(b)","42.5%",""
"White alone, not Hispanic or Latino, percent","","50.5%",""
"Veterans, 2015-2019","","1,411",""
"Foreign born persons, percent, 2015-2019","","18.2%",""
"Housing units,  July 1, 2019,  (V2019)","","11,098",""
"Owner-occupied housing unit rate, 2015-2019","","59.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$233,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,518",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$422",""
"Median gross rent, 2015-2019","","$835",""
"Building permits, 2019","","48",""
"Households, 2015-2019","","10,085",""
"Persons per household, 2015-2019","","2.74",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","90.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","38.0%",""
"Households with a computer, percent, 2015-2019","","84.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","71.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","74.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","14.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.9%",""
"Persons  without health insurance, under age 65 years, percent","","11.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","55.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","46.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","33,163",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","51,980",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","160,076",""
"Total retail sales, 2012 ($1,000)","(c)","191,222",""
"Total retail sales per capita, 2012","(c)","$6,831",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","22.2",""
"Median household income (in 2019 dollars), 2015-2019","","$49,633",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$22,668",""
"Persons in poverty, percent","","12.1%",""
"Total employer establishments, 2018","","469",""
"Total employment, 2018","","4,944",""
"Total annual payroll, 2018 ($1,000)","","256,939",""
"Total employment, percent change, 2017-2018","","0.1%",""
"Total nonemployer establishments, 2018","","1,437",""
"All firms, 2012","","1,880",""
"Men-owned firms, 2012","","961",""
"Women-owned firms, 2012","","705",""
"Minority-owned firms, 2012","","593",""
"Nonminority-owned firms, 2012","","1,238",""
"Veteran-owned firms, 2012","","89",""
"Nonveteran-owned firms, 2012","","1,587",""
"Population per square mile, 2010","","21.4",""
"Land area in square miles, 2010","","1,313.95",""
"FIPS Code","","""06021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
