"Fact","Fact Note","Humboldt County, California","Value Note for Humboldt County, California"
"Population estimates, July 1, 2019,  (V2019)","","135,558",""
"Population estimates base, April 1, 2010,  (V2019)","","134,611",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.7%",""
"Population, Census, April 1, 2010","","134,623",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","18.9%",""
"Persons 65 years and over, percent","","18.6%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","83.2%",""
"Black or African American alone, percent","(a)","1.5%",""
"American Indian and Alaska Native alone, percent","(a)","6.4%",""
"Asian alone, percent","(a)","2.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","5.7%",""
"Hispanic or Latino, percent","(b)","12.1%",""
"White alone, not Hispanic or Latino, percent","","73.8%",""
"Veterans, 2015-2019","","8,079",""
"Foreign born persons, percent, 2015-2019","","5.3%",""
"Housing units,  July 1, 2019,  (V2019)","","63,727",""
"Owner-occupied housing unit rate, 2015-2019","","56.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$313,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,742",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$464",""
"Median gross rent, 2015-2019","","$981",""
"Building permits, 2019","","387",""
"Households, 2015-2019","","54,679",""
"Persons per household, 2015-2019","","2.41",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","80.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","11.7%",""
"Households with a computer, percent, 2015-2019","","91.1%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","83.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","30.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","12.1%",""
"Persons  without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","59.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","58.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","257,506",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","695,496",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","361,890",""
"Total retail sales, 2012 ($1,000)","(c)","1,759,201",""
"Total retail sales per capita, 2012","(c)","$13,048",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","18.7",""
"Median household income (in 2019 dollars), 2015-2019","","$48,041",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$28,769",""
"Persons in poverty, percent","","19.1%",""
"Total employer establishments, 2018","","3,203",""
"Total employment, 2018","","35,465",""
"Total annual payroll, 2018 ($1,000)","","1,366,368",""
"Total employment, percent change, 2017-2018","","1.4%",""
"Total nonemployer establishments, 2018","","11,275",""
"All firms, 2012","","12,821",""
"Men-owned firms, 2012","","6,709",""
"Women-owned firms, 2012","","4,162",""
"Minority-owned firms, 2012","","1,853",""
"Nonminority-owned firms, 2012","","10,333",""
"Veteran-owned firms, 2012","","1,132",""
"Nonveteran-owned firms, 2012","","11,005",""
"Population per square mile, 2010","","37.7",""
"Land area in square miles, 2010","","3,567.99",""
"FIPS Code","","""06023""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
