"Fact","Fact Note","Mariposa County, California","Value Note for Mariposa County, California"
"Population estimates, July 1, 2019,  (V2019)","","17,203",""
"Population estimates base, April 1, 2010,  (V2019)","","18,247",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-5.7%",""
"Population, Census, April 1, 2010","","18,251",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","16.1%",""
"Persons 65 years and over, percent","","28.9%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","89.3%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","3.5%",""
"Asian alone, percent","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","4.0%",""
"Hispanic or Latino, percent","(b)","12.1%",""
"White alone, not Hispanic or Latino, percent","","79.3%",""
"Veterans, 2015-2019","","1,485",""
"Foreign born persons, percent, 2015-2019","","5.8%",""
"Housing units,  July 1, 2019,  (V2019)","","10,445",""
"Owner-occupied housing unit rate, 2015-2019","","68.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$275,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,659",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$447",""
"Median gross rent, 2015-2019","","$929",""
"Building permits, 2019","","35",""
"Households, 2015-2019","","7,643",""
"Persons per household, 2015-2019","","2.13",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","9.6%",""
"Households with a computer, percent, 2015-2019","","86.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","74.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","24.6%",""
"With a disability, under age 65 years, percent, 2015-2019","","15.0%",""
"Persons  without health insurance, under age 65 years, percent","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","51.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","48.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","157,933",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","D",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","18,908",""
"Total retail sales, 2012 ($1,000)","(c)","102,452",""
"Total retail sales per capita, 2012","(c)","$5,722",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.6",""
"Median household income (in 2019 dollars), 2015-2019","","$48,820",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$28,757",""
"Persons in poverty, percent","","15.1%",""
"Total employer establishments, 2018","","312",""
"Total employment, 2018","","2,528",""
"Total annual payroll, 2018 ($1,000)","","87,817",""
"Total employment, percent change, 2017-2018","","2.6%",""
"Total nonemployer establishments, 2018","","1,376",""
"All firms, 2012","","1,529",""
"Men-owned firms, 2012","","733",""
"Women-owned firms, 2012","","586",""
"Minority-owned firms, 2012","","189",""
"Nonminority-owned firms, 2012","","1,246",""
"Veteran-owned firms, 2012","","162",""
"Nonveteran-owned firms, 2012","","1,285",""
"Population per square mile, 2010","","12.6",""
"Land area in square miles, 2010","","1,448.82",""
"FIPS Code","","""06043""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
