"Fact","Fact Note","Merced County, California","Value Note for Merced County, California"
"Population estimates, July 1, 2019,  (V2019)","","277,680",""
"Population estimates base, April 1, 2010,  (V2019)","","255,796",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","8.6%",""
"Population, Census, April 1, 2010","","255,793",""
"Persons under 5 years, percent","","7.7%",""
"Persons under 18 years, percent","","29.3%",""
"Persons 65 years and over, percent","","11.4%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","82.2%",""
"Black or African American alone, percent","(a)","3.9%",""
"American Indian and Alaska Native alone, percent","(a)","2.5%",""
"Asian alone, percent","(a)","7.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent","(b)","61.0%",""
"White alone, not Hispanic or Latino, percent","","26.5%",""
"Veterans, 2015-2019","","9,225",""
"Foreign born persons, percent, 2015-2019","","26.3%",""
"Housing units,  July 1, 2019,  (V2019)","","86,388",""
"Owner-occupied housing unit rate, 2015-2019","","52.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$252,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,493",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$460",""
"Median gross rent, 2015-2019","","$1,021",""
"Building permits, 2019","","948",""
"Households, 2015-2019","","80,008",""
"Persons per household, 2015-2019","","3.32",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","53.3%",""
"Households with a computer, percent, 2015-2019","","91.1%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","83.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","69.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","13.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.1%",""
"Persons  without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","51.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","232,910",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","788,114",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","4,435,633",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","2,260,180",""
"Total retail sales, 2012 ($1,000)","(c)","1,959,473",""
"Total retail sales per capita, 2012","(c)","$7,470",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","28.6",""
"Median household income (in 2019 dollars), 2015-2019","","$53,672",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$23,011",""
"Persons in poverty, percent","","17.0%",""
"Total employer establishments, 2018","","3,140",""
"Total employment, 2018","","46,063",""
"Total annual payroll, 2018 ($1,000)","","1,776,766",""
"Total employment, percent change, 2017-2018","","0.8%",""
"Total nonemployer establishments, 2018","","11,717",""
"All firms, 2012","","12,848",""
"Men-owned firms, 2012","","7,163",""
"Women-owned firms, 2012","","4,071",""
"Minority-owned firms, 2012","","6,912",""
"Nonminority-owned firms, 2012","","5,448",""
"Veteran-owned firms, 2012","","1,060",""
"Nonveteran-owned firms, 2012","","11,149",""
"Population per square mile, 2010","","132.2",""
"Land area in square miles, 2010","","1,934.97",""
"FIPS Code","","""06047""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
