"Fact","Fact Note","Plumas County, California","Value Note for Plumas County, California"
"Population estimates, July 1, 2019,  (V2019)","","18,807",""
"Population estimates base, April 1, 2010,  (V2019)","","20,007",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-6.0%",""
"Population, Census, April 1, 2010","","20,007",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","17.4%",""
"Persons 65 years and over, percent","","28.9%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","90.5%",""
"Black or African American alone, percent","(a)","1.1%",""
"American Indian and Alaska Native alone, percent","(a)","3.2%",""
"Asian alone, percent","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","4.0%",""
"Hispanic or Latino, percent","(b)","9.3%",""
"White alone, not Hispanic or Latino, percent","","83.1%",""
"Veterans, 2015-2019","","1,876",""
"Foreign born persons, percent, 2015-2019","","4.2%",""
"Housing units,  July 1, 2019,  (V2019)","","15,916",""
"Owner-occupied housing unit rate, 2015-2019","","72.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$242,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,528",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$483",""
"Median gross rent, 2015-2019","","$916",""
"Building permits, 2019","","38",""
"Households, 2015-2019","","8,450",""
"Persons per household, 2015-2019","","2.16",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","7.9%",""
"Households with a computer, percent, 2015-2019","","88.4%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","77.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","95.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","23.7%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.7%",""
"Persons  without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","51.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","48.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","85,167",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","139,325",""
"Total retail sales per capita, 2012","(c)","$7,182",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","19.8",""
"Median household income (in 2019 dollars), 2015-2019","","$55,359",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$35,198",""
"Persons in poverty, percent","","13.2%",""
"Total employer establishments, 2018","","606",""
"Total employment, 2018","","3,788",""
"Total annual payroll, 2018 ($1,000)","","178,647",""
"Total employment, percent change, 2017-2018","","3.1%",""
"Total nonemployer establishments, 2018","","1,648",""
"All firms, 2012","","2,039",""
"Men-owned firms, 2012","","942",""
"Women-owned firms, 2012","","560",""
"Minority-owned firms, 2012","","198",""
"Nonminority-owned firms, 2012","","1,742",""
"Veteran-owned firms, 2012","","218",""
"Nonveteran-owned firms, 2012","","1,653",""
"Population per square mile, 2010","","7.8",""
"Land area in square miles, 2010","","2,553.04",""
"FIPS Code","","""06063""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
