"Fact","Fact Note","Sacramento County, California","Value Note for Sacramento County, California"
"Population estimates, July 1, 2019,  (V2019)","","1,552,058",""
"Population estimates base, April 1, 2010,  (V2019)","","1,418,735",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","9.4%",""
"Population, Census, April 1, 2010","","1,418,788",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","14.5%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","62.8%",""
"Black or African American alone, percent","(a)","10.9%",""
"American Indian and Alaska Native alone, percent","(a)","1.5%",""
"Asian alone, percent","(a)","17.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","1.3%",""
"Two or More Races, percent","","6.5%",""
"Hispanic or Latino, percent","(b)","23.6%",""
"White alone, not Hispanic or Latino, percent","","43.8%",""
"Veterans, 2015-2019","","77,463",""
"Foreign born persons, percent, 2015-2019","","20.9%",""
"Housing units,  July 1, 2019,  (V2019)","","578,937",""
"Owner-occupied housing unit rate, 2015-2019","","56.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$351,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,925",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$539",""
"Median gross rent, 2015-2019","","$1,252",""
"Building permits, 2019","","5,588",""
"Households, 2015-2019","","543,025",""
"Persons per household, 2015-2019","","2.76",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","84.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","32.7%",""
"Households with a computer, percent, 2015-2019","","94.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","87.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","87.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","30.9%",""
"With a disability, under age 65 years, percent, 2015-2019","","7.8%",""
"Persons  without health insurance, under age 65 years, percent","","6.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","62.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","58.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","2,422,674",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","12,358,663",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","6,960,679",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","18,746,336",""
"Total retail sales, 2012 ($1,000)","(c)","15,227,280",""
"Total retail sales per capita, 2012","(c)","$10,501",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.8",""
"Median household income (in 2019 dollars), 2015-2019","","$67,151",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$32,751",""
"Persons in poverty, percent","","12.6%",""
"Total employer establishments, 2018","","30,275",""
"Total employment, 2018","","493,415",""
"Total annual payroll, 2018 ($1,000)","","28,219,067",""
"Total employment, percent change, 2017-2018","","2.5%",""
"Total nonemployer establishments, 2018","","113,355",""
"All firms, 2012","","110,172",""
"Men-owned firms, 2012","","58,846",""
"Women-owned firms, 2012","","40,013",""
"Minority-owned firms, 2012","","43,535",""
"Nonminority-owned firms, 2012","","62,814",""
"Veteran-owned firms, 2012","","9,080",""
"Nonveteran-owned firms, 2012","","96,579",""
"Population per square mile, 2010","","1,470.8",""
"Land area in square miles, 2010","","964.64",""
"FIPS Code","","""06067""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
