"Fact","Fact Note","San Bernardino County, California","Value Note for San Bernardino County, California"
"Population estimates, July 1, 2019,  (V2019)","","2,180,085",""
"Population estimates base, April 1, 2010,  (V2019)","","2,035,183",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","7.1%",""
"Population, Census, April 1, 2010","","2,035,210",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","26.1%",""
"Persons 65 years and over, percent","","11.9%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","76.6%",""
"Black or African American alone, percent","(a)","9.4%",""
"American Indian and Alaska Native alone, percent","(a)","2.1%",""
"Asian alone, percent","(a)","8.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.5%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent","(b)","54.4%",""
"White alone, not Hispanic or Latino, percent","","27.3%",""
"Veterans, 2015-2019","","90,686",""
"Foreign born persons, percent, 2015-2019","","21.0%",""
"Housing units,  July 1, 2019,  (V2019)","","731,400",""
"Owner-occupied housing unit rate, 2015-2019","","59.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$328,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,818",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$483",""
"Median gross rent, 2015-2019","","$1,283",""
"Building permits, 2019","","5,607",""
"Households, 2015-2019","","636,041",""
"Persons per household, 2015-2019","","3.29",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","86.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","42.1%",""
"Households with a computer, percent, 2015-2019","","93.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","84.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","21.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","7.4%",""
"Persons  without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","60.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","54.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","2,857,960",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","11,199,315",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","17,591,611",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","30,996,187",""
"Total retail sales, 2012 ($1,000)","(c)","24,380,486",""
"Total retail sales per capita, 2012","(c)","$11,714",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","31.6",""
"Median household income (in 2019 dollars), 2015-2019","","$63,362",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$25,215",""
"Persons in poverty, percent","","13.3%",""
"Total employer establishments, 2018","","36,275",""
"Total employment, 2018","","617,828",""
"Total annual payroll, 2018 ($1,000)","","27,459,441",""
"Total employment, percent change, 2017-2018","","2.2%",""
"Total nonemployer establishments, 2018","","154,048",""
"All firms, 2012","","160,500",""
"Men-owned firms, 2012","","81,064",""
"Women-owned firms, 2012","","63,349",""
"Minority-owned firms, 2012","","98,288",""
"Nonminority-owned firms, 2012","","57,667",""
"Veteran-owned firms, 2012","","11,117",""
"Nonveteran-owned firms, 2012","","144,106",""
"Population per square mile, 2010","","101.5",""
"Land area in square miles, 2010","","20,056.94",""
"FIPS Code","","""06071""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
