"Fact","Fact Note","San Francisco County, California","Value Note for San Francisco County, California"
"Population estimates, July 1, 2019,  (V2019)","","881,549",""
"Population estimates base, April 1, 2010,  (V2019)","","805,184",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","9.5%",""
"Population, Census, April 1, 2010","","805,235",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","13.4%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","52.8%",""
"Black or African American alone, percent","(a)","5.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%",""
"Asian alone, percent","(a)","36.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.5%",""
"Two or More Races, percent","","4.5%",""
"Hispanic or Latino, percent","(b)","15.2%",""
"White alone, not Hispanic or Latino, percent","","40.2%",""
"Veterans, 2015-2019","","23,619",""
"Foreign born persons, percent, 2015-2019","","34.3%",""
"Housing units,  July 1, 2019,  (V2019)","","406,413",""
"Owner-occupied housing unit rate, 2015-2019","","37.6%",""
"Median value of owner-occupied housing units, 2015-2019","","$1,097,800",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$3,647",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$704",""
"Median gross rent, 2015-2019","","$1,895",""
"Building permits, 2019","","3,200",""
"Households, 2015-2019","","362,354",""
"Persons per household, 2015-2019","","2.36",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","85.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","42.9%",""
"Households with a computer, percent, 2015-2019","","93.1%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","87.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","58.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","5.7%",""
"Persons  without health insurance, under age 65 years, percent","","4.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","71.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","67.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","6,142,745",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","10,175,813",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","11,121,715",""
"Total retail sales, 2012 ($1,000)","(c)","14,632,652",""
"Total retail sales per capita, 2012","(c)","$17,718",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","33.8",""
"Median household income (in 2019 dollars), 2015-2019","","$112,449",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$68,883",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2018","","34,671",""
"Total employment, 2018","","673,488",""
"Total annual payroll, 2018 ($1,000)","","75,901,187",""
"Total employment, percent change, 2017-2018","","3.1%",""
"Total nonemployer establishments, 2018","","100,598",""
"All firms, 2012","","116,803",""
"Men-owned firms, 2012","","63,864",""
"Women-owned firms, 2012","","40,135",""
"Minority-owned firms, 2012","","46,128",""
"Nonminority-owned firms, 2012","","64,708",""
"Veteran-owned firms, 2012","","6,378",""
"Nonveteran-owned firms, 2012","","104,957",""
"Population per square mile, 2010","","17,179.1",""
"Land area in square miles, 2010","","46.87",""
"FIPS Code","","""06075""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
