"Fact","Fact Note","Santa Barbara County, California","Value Note for Santa Barbara County, California"
"Population estimates, July 1, 2019,  (V2019)","","446,499",""
"Population estimates base, April 1, 2010,  (V2019)","","423,947",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","5.3%",""
"Population, Census, April 1, 2010","","423,895",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","22.1%",""
"Persons 65 years and over, percent","","15.7%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","85.4%",""
"Black or African American alone, percent","(a)","2.4%",""
"American Indian and Alaska Native alone, percent","(a)","2.1%",""
"Asian alone, percent","(a)","6.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.8%",""
"Hispanic or Latino, percent","(b)","46.0%",""
"White alone, not Hispanic or Latino, percent","","43.8%",""
"Veterans, 2015-2019","","21,027",""
"Foreign born persons, percent, 2015-2019","","23.0%",""
"Housing units,  July 1, 2019,  (V2019)","","159,246",""
"Owner-occupied housing unit rate, 2015-2019","","52.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$577,400",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,364",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$634",""
"Median gross rent, 2015-2019","","$1,643",""
"Building permits, 2019","","1,175",""
"Households, 2015-2019","","145,856",""
"Persons per household, 2015-2019","","2.91",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","80.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","40.3%",""
"Households with a computer, percent, 2015-2019","","92.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","87.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","80.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","34.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","6.2%",""
"Persons  without health insurance, under age 65 years, percent","","11.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","58.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,428,929",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","2,637,280",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","4,157,565",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","3,475,600",""
"Total retail sales, 2012 ($1,000)","(c)","4,853,808",""
"Total retail sales per capita, 2012","(c)","$11,255",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","20.5",""
"Median household income (in 2019 dollars), 2015-2019","","$74,624",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$36,039",""
"Persons in poverty, percent","","12.0%",""
"Total employer establishments, 2018","","11,765",""
"Total employment, 2018","","153,488",""
"Total annual payroll, 2018 ($1,000)","","8,503,790",""
"Total employment, percent change, 2017-2018","","2.5%",""
"Total nonemployer establishments, 2018","","35,272",""
"All firms, 2012","","39,952",""
"Men-owned firms, 2012","","20,585",""
"Women-owned firms, 2012","","13,911",""
"Minority-owned firms, 2012","","10,340",""
"Nonminority-owned firms, 2012","","27,596",""
"Veteran-owned firms, 2012","","3,254",""
"Nonveteran-owned firms, 2012","","34,332",""
"Population per square mile, 2010","","155.0",""
"Land area in square miles, 2010","","2,735.09",""
"FIPS Code","","""06083""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
