"Fact","Fact Note","Santa Clara County, California","Value Note for Santa Clara County, California"
"Population estimates, July 1, 2019,  (V2019)","","1,927,852",""
"Population estimates base, April 1, 2010,  (V2019)","","1,781,686",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","8.2%",""
"Population, Census, April 1, 2010","","1,781,642",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","21.6%",""
"Persons 65 years and over, percent","","13.9%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","52.4%",""
"Black or African American alone, percent","(a)","2.8%",""
"American Indian and Alaska Native alone, percent","(a)","1.2%",""
"Asian alone, percent","(a)","39.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.5%",""
"Two or More Races, percent","","4.2%",""
"Hispanic or Latino, percent","(b)","25.0%",""
"White alone, not Hispanic or Latino, percent","","30.6%",""
"Veterans, 2015-2019","","51,472",""
"Foreign born persons, percent, 2015-2019","","39.2%",""
"Housing units,  July 1, 2019,  (V2019)","","686,266",""
"Owner-occupied housing unit rate, 2015-2019","","56.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$984,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$3,381",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$795",""
"Median gross rent, 2015-2019","","$2,268",""
"Building permits, 2019","","5,496",""
"Households, 2015-2019","","640,215",""
"Persons per household, 2015-2019","","2.95",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","85.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","53.0%",""
"Households with a computer, percent, 2015-2019","","96.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","91.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","88.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","52.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","4.6%",""
"Persons  without health insurance, under age 65 years, percent","","5.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","67.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","60.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","4,809,201",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","17,020,991",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","41,450,609",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","91,858,973",""
"Total retail sales, 2012 ($1,000)","(c)","40,336,741",""
"Total retail sales per capita, 2012","(c)","$21,952",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","29.3",""
"Median household income (in 2019 dollars), 2015-2019","","$124,055",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$56,248",""
"Persons in poverty, percent","","6.1%",""
"Total employer establishments, 2018","","48,960",""
"Total employment, 2018","","1,084,463",""
"Total annual payroll, 2018 ($1,000)","","142,931,391",""
"Total employment, percent change, 2017-2018","","2.7%",""
"Total nonemployer establishments, 2018","","149,189",""
"All firms, 2012","","163,130",""
"Men-owned firms, 2012","","84,501",""
"Women-owned firms, 2012","","58,589",""
"Minority-owned firms, 2012","","82,931",""
"Nonminority-owned firms, 2012","","72,818",""
"Veteran-owned firms, 2012","","9,400",""
"Nonveteran-owned firms, 2012","","146,384",""
"Population per square mile, 2010","","1,381.0",""
"Land area in square miles, 2010","","1,290.10",""
"FIPS Code","","""06085""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
