"Fact","Fact Note","Shasta County, California","Value Note for Shasta County, California"
"Population estimates, July 1, 2019,  (V2019)","","180,080",""
"Population estimates base, April 1, 2010,  (V2019)","","177,221",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","1.6%",""
"Population, Census, April 1, 2010","","177,223",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","21.6%",""
"Persons 65 years and over, percent","","21.1%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","87.6%",""
"Black or African American alone, percent","(a)","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","3.2%",""
"Asian alone, percent","(a)","3.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","4.6%",""
"Hispanic or Latino, percent","(b)","10.5%",""
"White alone, not Hispanic or Latino, percent","","79.2%",""
"Veterans, 2015-2019","","13,808",""
"Foreign born persons, percent, 2015-2019","","5.5%",""
"Housing units,  July 1, 2019,  (V2019)","","78,618",""
"Owner-occupied housing unit rate, 2015-2019","","64.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$252,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,593",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$499",""
"Median gross rent, 2015-2019","","$1,039",""
"Building permits, 2019","","544",""
"Households, 2015-2019","","71,181",""
"Persons per household, 2015-2019","","2.47",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","8.3%",""
"Households with a computer, percent, 2015-2019","","89.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","80.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","91.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","22.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","12.4%",""
"Persons  without health insurance, under age 65 years, percent","","7.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","54.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","50.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","285,536",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,324,574",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","511,871",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,023,859",""
"Total retail sales, 2012 ($1,000)","(c)","2,507,063",""
"Total retail sales per capita, 2012","(c)","$14,038",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","20.5",""
"Median household income (in 2019 dollars), 2015-2019","","$54,667",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$29,720",""
"Persons in poverty, percent","","13.3%",""
"Total employer establishments, 2018","","4,236",""
"Total employment, 2018","","50,673",""
"Total annual payroll, 2018 ($1,000)","","2,143,426",""
"Total employment, percent change, 2017-2018","","0.8%",""
"Total nonemployer establishments, 2018","","11,945",""
"All firms, 2012","","13,342",""
"Men-owned firms, 2012","","7,068",""
"Women-owned firms, 2012","","4,162",""
"Minority-owned firms, 2012","","1,752",""
"Nonminority-owned firms, 2012","","10,680",""
"Veteran-owned firms, 2012","","1,422",""
"Nonveteran-owned firms, 2012","","10,968",""
"Population per square mile, 2010","","46.9",""
"Land area in square miles, 2010","","3,775.40",""
"FIPS Code","","""06089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
