"Fact","Fact Note","Siskiyou County, California","Value Note for Siskiyou County, California"
"Population estimates, July 1, 2019,  (V2019)","","43,539",""
"Population estimates base, April 1, 2010,  (V2019)","","44,900",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-3.0%",""
"Population, Census, April 1, 2010","","44,900",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.1%",""
"Persons 65 years and over, percent","","26.1%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","85.9%",""
"Black or African American alone, percent","(a)","1.5%",""
"American Indian and Alaska Native alone, percent","(a)","5.1%",""
"Asian alone, percent","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","5.5%",""
"Hispanic or Latino, percent","(b)","13.2%",""
"White alone, not Hispanic or Latino, percent","","75.2%",""
"Veterans, 2015-2019","","3,871",""
"Foreign born persons, percent, 2015-2019","","5.4%",""
"Housing units,  July 1, 2019,  (V2019)","","24,226",""
"Owner-occupied housing unit rate, 2015-2019","","65.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$198,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,329",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$430",""
"Median gross rent, 2015-2019","","$856",""
"Building permits, 2019","","50",""
"Households, 2015-2019","","19,240",""
"Persons per household, 2015-2019","","2.23",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","83.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","8.9%",""
"Households with a computer, percent, 2015-2019","","87.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","80.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","23.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","12.9%",""
"Persons  without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","49.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","48.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","71,463",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","174,118",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","203,399",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","165,194",""
"Total retail sales, 2012 ($1,000)","(c)","426,654",""
"Total retail sales per capita, 2012","(c)","$9,663",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","18.4",""
"Median household income (in 2019 dollars), 2015-2019","","$45,241",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$28,615",""
"Persons in poverty, percent","","17.4%",""
"Total employer establishments, 2018","","1,062",""
"Total employment, 2018","","8,554",""
"Total annual payroll, 2018 ($1,000)","","324,406",""
"Total employment, percent change, 2017-2018","","-3.7%",""
"Total nonemployer establishments, 2018","","3,347",""
"All firms, 2012","","3,489",""
"Men-owned firms, 2012","","1,626",""
"Women-owned firms, 2012","","1,151",""
"Minority-owned firms, 2012","","411",""
"Nonminority-owned firms, 2012","","2,867",""
"Veteran-owned firms, 2012","","283",""
"Nonveteran-owned firms, 2012","","3,028",""
"Population per square mile, 2010","","7.2",""
"Land area in square miles, 2010","","6,277.89",""
"FIPS Code","","""06093""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
