"Fact","Fact Note","Stanislaus County, California","Value Note for Stanislaus County, California"
"Population estimates, July 1, 2019,  (V2019)","","550,660",""
"Population estimates base, April 1, 2010,  (V2019)","","514,450",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","7.0%",""
"Population, Census, April 1, 2010","","514,453",""
"Persons under 5 years, percent","","7.1%",""
"Persons under 18 years, percent","","27.0%",""
"Persons 65 years and over, percent","","13.4%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","83.3%",""
"Black or African American alone, percent","(a)","3.5%",""
"American Indian and Alaska Native alone, percent","(a)","2.0%",""
"Asian alone, percent","(a)","6.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.9%",""
"Two or More Races, percent","","4.2%",""
"Hispanic or Latino, percent","(b)","47.6%",""
"White alone, not Hispanic or Latino, percent","","40.4%",""
"Veterans, 2015-2019","","21,051",""
"Foreign born persons, percent, 2015-2019","","20.3%",""
"Housing units,  July 1, 2019,  (V2019)","","182,978",""
"Owner-occupied housing unit rate, 2015-2019","","57.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$291,600",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,702",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$503",""
"Median gross rent, 2015-2019","","$1,155",""
"Building permits, 2019","","699",""
"Households, 2015-2019","","173,898",""
"Persons per household, 2015-2019","","3.09",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","42.9%",""
"Households with a computer, percent, 2015-2019","","91.6%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","84.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","78.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","17.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.0%",""
"Persons  without health insurance, under age 65 years, percent","","7.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","60.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","53.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","705,698",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","3,634,960",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","11,703,620",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","5,295,116",""
"Total retail sales, 2012 ($1,000)","(c)","5,933,581",""
"Total retail sales per capita, 2012","(c)","$11,373",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","29.9",""
"Median household income (in 2019 dollars), 2015-2019","","$60,704",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$26,258",""
"Persons in poverty, percent","","13.0%",""
"Total employer establishments, 2018","","9,156",""
"Total employment, 2018","","145,041",""
"Total annual payroll, 2018 ($1,000)","","6,675,130",""
"Total employment, percent change, 2017-2018","","1.5%",""
"Total nonemployer establishments, 2018","","30,181",""
"All firms, 2012","","33,036",""
"Men-owned firms, 2012","","16,930",""
"Women-owned firms, 2012","","11,455",""
"Minority-owned firms, 2012","","13,341",""
"Nonminority-owned firms, 2012","","18,348",""
"Veteran-owned firms, 2012","","2,914",""
"Nonveteran-owned firms, 2012","","28,584",""
"Population per square mile, 2010","","344.2",""
"Land area in square miles, 2010","","1,494.83",""
"FIPS Code","","""06099""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
