"Fact","Fact Note","Sutter County, California","Value Note for Sutter County, California"
"Population estimates, July 1, 2019,  (V2019)","","96,971",""
"Population estimates base, April 1, 2010,  (V2019)","","94,756",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.3%",""
"Population, Census, April 1, 2010","","94,737",""
"Persons under 5 years, percent","","6.9%",""
"Persons under 18 years, percent","","25.8%",""
"Persons 65 years and over, percent","","15.6%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","72.7%",""
"Black or African American alone, percent","(a)","2.7%",""
"American Indian and Alaska Native alone, percent","(a)","2.4%",""
"Asian alone, percent","(a)","17.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","4.8%",""
"Hispanic or Latino, percent","(b)","31.9%",""
"White alone, not Hispanic or Latino, percent","","44.9%",""
"Veterans, 2015-2019","","5,986",""
"Foreign born persons, percent, 2015-2019","","22.2%",""
"Housing units,  July 1, 2019,  (V2019)","","34,583",""
"Owner-occupied housing unit rate, 2015-2019","","57.7%",""
"Median value of owner-occupied housing units, 2015-2019","","$279,400",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,677",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$504",""
"Median gross rent, 2015-2019","","$1,033",""
"Building permits, 2019","","140",""
"Households, 2015-2019","","32,636",""
"Persons per household, 2015-2019","","2.91",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","85.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","37.3%",""
"Households with a computer, percent, 2015-2019","","89.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","78.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","18.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","8.9%",""
"Persons  without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","57.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","50.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","116,640",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","392,432",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","543,504",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,197,304",""
"Total retail sales, 2012 ($1,000)","(c)","1,069,489",""
"Total retail sales per capita, 2012","(c)","$11,255",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.5",""
"Median household income (in 2019 dollars), 2015-2019","","$59,050",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$27,371",""
"Persons in poverty, percent","","12.8%",""
"Total employer establishments, 2018","","1,813",""
"Total employment, 2018","","22,670",""
"Total annual payroll, 2018 ($1,000)","","970,146",""
"Total employment, percent change, 2017-2018","","3.7%",""
"Total nonemployer establishments, 2018","","6,251",""
"All firms, 2012","","5,461",""
"Men-owned firms, 2012","","2,907",""
"Women-owned firms, 2012","","1,806",""
"Minority-owned firms, 2012","","1,957",""
"Nonminority-owned firms, 2012","","3,108",""
"Veteran-owned firms, 2012","","542",""
"Nonveteran-owned firms, 2012","","4,598",""
"Population per square mile, 2010","","157.3",""
"Land area in square miles, 2010","","602.41",""
"FIPS Code","","""06101""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
