"Fact","Fact Note","Tehama County, California","Value Note for Tehama County, California"
"Population estimates, July 1, 2019,  (V2019)","","65,084",""
"Population estimates base, April 1, 2010,  (V2019)","","63,440",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.6%",""
"Population, Census, April 1, 2010","","63,463",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","19.6%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","90.2%",""
"Black or African American alone, percent","(a)","1.1%",""
"American Indian and Alaska Native alone, percent","(a)","3.3%",""
"Asian alone, percent","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","3.7%",""
"Hispanic or Latino, percent","(b)","25.8%",""
"White alone, not Hispanic or Latino, percent","","67.3%",""
"Veterans, 2015-2019","","4,392",""
"Foreign born persons, percent, 2015-2019","","8.4%",""
"Housing units,  July 1, 2019,  (V2019)","","27,840",""
"Owner-occupied housing unit rate, 2015-2019","","65.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$215,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,411",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$413",""
"Median gross rent, 2015-2019","","$872",""
"Building permits, 2019","","152",""
"Households, 2015-2019","","24,189",""
"Persons per household, 2015-2019","","2.61",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","18.9%",""
"Households with a computer, percent, 2015-2019","","86.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","75.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","84.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","15.7%",""
"With a disability, under age 65 years, percent, 2015-2019","","13.4%",""
"Persons  without health insurance, under age 65 years, percent","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","53.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","49.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","65,144",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","179,484",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","449,524",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","88,813",""
"Total retail sales, 2012 ($1,000)","(c)","654,574",""
"Total retail sales per capita, 2012","(c)","$10,324",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","23.4",""
"Median household income (in 2019 dollars), 2015-2019","","$44,514",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$24,301",""
"Persons in poverty, percent","","16.3%",""
"Total employer establishments, 2018","","967",""
"Total employment, 2018","","12,513",""
"Total annual payroll, 2018 ($1,000)","","538,788",""
"Total employment, percent change, 2017-2018","","1.7%",""
"Total nonemployer establishments, 2018","","3,307",""
"All firms, 2012","","3,954",""
"Men-owned firms, 2012","","2,219",""
"Women-owned firms, 2012","","1,140",""
"Minority-owned firms, 2012","","784",""
"Nonminority-owned firms, 2012","","3,001",""
"Veteran-owned firms, 2012","","464",""
"Nonveteran-owned firms, 2012","","3,282",""
"Population per square mile, 2010","","21.5",""
"Land area in square miles, 2010","","2,949.71",""
"FIPS Code","","""06103""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
