"Fact","Fact Note","Trinity County, California","Value Note for Trinity County, California"
"Population estimates, July 1, 2019,  (V2019)","","12,285",""
"Population estimates base, April 1, 2010,  (V2019)","","13,784",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-10.9%",""
"Population, Census, April 1, 2010","","13,786",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","17.3%",""
"Persons 65 years and over, percent","","28.3%",""
"Female persons, percent","","48.6%",""
"White alone, percent","","87.0%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","5.2%",""
"Asian alone, percent","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","5.3%",""
"Hispanic or Latino, percent","(b)","7.4%",""
"White alone, not Hispanic or Latino, percent","","81.9%",""
"Veterans, 2015-2019","","1,150",""
"Foreign born persons, percent, 2015-2019","","4.7%",""
"Housing units,  July 1, 2019,  (V2019)","","9,013",""
"Owner-occupied housing unit rate, 2015-2019","","68.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$287,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,454",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$355",""
"Median gross rent, 2015-2019","","$799",""
"Building permits, 2019","","16",""
"Households, 2015-2019","","5,939",""
"Persons per household, 2015-2019","","2.09",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","8.6%",""
"Households with a computer, percent, 2015-2019","","81.6%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","67.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","92.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","19.5%",""
"With a disability, under age 65 years, percent, 2015-2019","","13.0%",""
"Persons  without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","45.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","43.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","13,381",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","27,947",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","72,655",""
"Total retail sales per capita, 2012","(c)","$5,372",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","21.6",""
"Median household income (in 2019 dollars), 2015-2019","","$40,846",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$26,523",""
"Persons in poverty, percent","","16.5%",""
"Total employer establishments, 2018","","246",""
"Total employment, 2018","","1,537",""
"Total annual payroll, 2018 ($1,000)","","60,871",""
"Total employment, percent change, 2017-2018","","-3.1%",""
"Total nonemployer establishments, 2018","","915",""
"All firms, 2012","","1,123",""
"Men-owned firms, 2012","","543",""
"Women-owned firms, 2012","","434",""
"Minority-owned firms, 2012","","214",""
"Nonminority-owned firms, 2012","","838",""
"Veteran-owned firms, 2012","","240",""
"Nonveteran-owned firms, 2012","","805",""
"Population per square mile, 2010","","4.3",""
"Land area in square miles, 2010","","3,179.25",""
"FIPS Code","","""06105""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
