"Fact","Fact Note","Tulare County, California","Value Note for Tulare County, California"
"Population estimates, July 1, 2019,  (V2019)","","466,195",""
"Population estimates base, April 1, 2010,  (V2019)","","442,182",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","5.4%",""
"Population, Census, April 1, 2010","","442,179",""
"Persons under 5 years, percent","","7.8%",""
"Persons under 18 years, percent","","30.5%",""
"Persons 65 years and over, percent","","11.6%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","88.2%",""
"Black or African American alone, percent","(a)","2.2%",""
"American Indian and Alaska Native alone, percent","(a)","2.8%",""
"Asian alone, percent","(a)","4.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent","(b)","65.6%",""
"White alone, not Hispanic or Latino, percent","","27.7%",""
"Veterans, 2015-2019","","14,633",""
"Foreign born persons, percent, 2015-2019","","21.8%",""
"Housing units,  July 1, 2019,  (V2019)","","151,603",""
"Owner-occupied housing unit rate, 2015-2019","","57.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$205,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,420",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$421",""
"Median gross rent, 2015-2019","","$942",""
"Building permits, 2019","","1,872",""
"Households, 2015-2019","","138,238",""
"Persons per household, 2015-2019","","3.30",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","51.3%",""
"Households with a computer, percent, 2015-2019","","87.6%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","77.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","70.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","14.6%",""
"With a disability, under age 65 years, percent, 2015-2019","","8.2%",""
"Persons  without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","51.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","451,880",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,610,236",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","8,362,447",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","3,890,547",""
"Total retail sales, 2012 ($1,000)","(c)","3,903,527",""
"Total retail sales per capita, 2012","(c)","$8,637",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","22.6",""
"Median household income (in 2019 dollars), 2015-2019","","$49,687",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$21,380",""
"Persons in poverty, percent","","18.9%",""
"Total employer establishments, 2018","","6,470",""
"Total employment, 2018","","97,726",""
"Total annual payroll, 2018 ($1,000)","","3,949,277",""
"Total employment, percent change, 2017-2018","","1.1%",""
"Total nonemployer establishments, 2018","","21,098",""
"All firms, 2012","","23,310",""
"Men-owned firms, 2012","","12,168",""
"Women-owned firms, 2012","","8,115",""
"Minority-owned firms, 2012","","11,023",""
"Nonminority-owned firms, 2012","","11,406",""
"Veteran-owned firms, 2012","","1,677",""
"Nonveteran-owned firms, 2012","","20,452",""
"Population per square mile, 2010","","91.7",""
"Land area in square miles, 2010","","4,824.22",""
"FIPS Code","","""06107""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
