"Fact","Fact Note","Tuolumne County, California","Value Note for Tuolumne County, California"
"Population estimates, July 1, 2019,  (V2019)","","54,478",""
"Population estimates base, April 1, 2010,  (V2019)","","55,368",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-1.6%",""
"Population, Census, April 1, 2010","","55,365",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","16.8%",""
"Persons 65 years and over, percent","","27.0%",""
"Female persons, percent","","48.2%",""
"White alone, percent","","90.3%",""
"Black or African American alone, percent","(a)","2.0%",""
"American Indian and Alaska Native alone, percent","(a)","2.3%",""
"Asian alone, percent","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent","(b)","12.7%",""
"White alone, not Hispanic or Latino, percent","","79.7%",""
"Veterans, 2015-2019","","5,190",""
"Foreign born persons, percent, 2015-2019","","4.8%",""
"Housing units,  July 1, 2019,  (V2019)","","31,700",""
"Owner-occupied housing unit rate, 2015-2019","","71.3%",""
"Median value of owner-occupied housing units, 2015-2019","","$289,200",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,748",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$571",""
"Median gross rent, 2015-2019","","$1,009",""
"Building permits, 2019","","66",""
"Households, 2015-2019","","22,502",""
"Persons per household, 2015-2019","","2.24",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","83.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","7.9%",""
"Households with a computer, percent, 2015-2019","","90.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","82.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","20.5%",""
"With a disability, under age 65 years, percent, 2015-2019","","14.2%",""
"Persons  without health insurance, under age 65 years, percent","","6.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","48.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","47.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","92,814",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","345,557",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","173,104",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","573,262",""
"Total retail sales per capita, 2012","(c)","$10,614",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.9",""
"Median household income (in 2019 dollars), 2015-2019","","$60,108",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$34,702",""
"Persons in poverty, percent","","11.3%",""
"Total employer establishments, 2018","","1,281",""
"Total employment, 2018","","12,741",""
"Total annual payroll, 2018 ($1,000)","","542,100",""
"Total employment, percent change, 2017-2018","","-0.7%",""
"Total nonemployer establishments, 2018","","4,246",""
"All firms, 2012","","4,466",""
"Men-owned firms, 2012","","2,140",""
"Women-owned firms, 2012","","1,484",""
"Minority-owned firms, 2012","","350",""
"Nonminority-owned firms, 2012","","3,939",""
"Veteran-owned firms, 2012","","444",""
"Nonveteran-owned firms, 2012","","3,596",""
"Population per square mile, 2010","","24.9",""
"Land area in square miles, 2010","","2,220.88",""
"FIPS Code","","""06109""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
