"Fact","Fact Note","Ventura County, California","Value Note for Ventura County, California"
"Population estimates, July 1, 2019,  (V2019)","","846,006",""
"Population estimates base, April 1, 2010,  (V2019)","","823,398",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.7%",""
"Population, Census, April 1, 2010","","823,318",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","22.6%",""
"Persons 65 years and over, percent","","16.2%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","84.1%",""
"Black or African American alone, percent","(a)","2.4%",""
"American Indian and Alaska Native alone, percent","(a)","1.9%",""
"Asian alone, percent","(a)","7.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent","(b)","43.2%",""
"White alone, not Hispanic or Latino, percent","","44.7%",""
"Veterans, 2015-2019","","39,781",""
"Foreign born persons, percent, 2015-2019","","21.8%",""
"Housing units,  July 1, 2019,  (V2019)","","291,512",""
"Owner-occupied housing unit rate, 2015-2019","","63.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$588,400",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,567",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$617",""
"Median gross rent, 2015-2019","","$1,776",""
"Building permits, 2019","","1,146",""
"Households, 2015-2019","","271,040",""
"Persons per household, 2015-2019","","3.08",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","89.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","38.4%",""
"Households with a computer, percent, 2015-2019","","92.7%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","88.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","85.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","33.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","6.8%",""
"Persons  without health insurance, under age 65 years, percent","","9.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","65.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","59.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","1,597,442",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","3,987,634",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","8,333,976",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","11,194,185",""
"Total retail sales per capita, 2012","(c)","$13,390",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","27.2",""
"Median household income (in 2019 dollars), 2015-2019","","$88,131",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$38,595",""
"Persons in poverty, percent","","8.2%",""
"Total employer establishments, 2018","","21,344",""
"Total employment, 2018","","264,123",""
"Total annual payroll, 2018 ($1,000)","","14,565,661",""
"Total employment, percent change, 2017-2018","","2.3%",""
"Total nonemployer establishments, 2018","","70,479",""
"All firms, 2012","","76,285",""
"Men-owned firms, 2012","","39,995",""
"Women-owned firms, 2012","","26,682",""
"Minority-owned firms, 2012","","25,161",""
"Nonminority-owned firms, 2012","","48,210",""
"Veteran-owned firms, 2012","","5,861",""
"Nonveteran-owned firms, 2012","","67,137",""
"Population per square mile, 2010","","446.7",""
"Land area in square miles, 2010","","1,843.13",""
"FIPS Code","","""06111""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
