"Fact","Fact Note","Yuba County, California","Value Note for Yuba County, California"
"Population estimates, July 1, 2019,  (V2019)","","78,668",""
"Population estimates base, April 1, 2010,  (V2019)","","72,142",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","9.0%",""
"Population, Census, April 1, 2010","","72,155",""
"Persons under 5 years, percent","","7.8%",""
"Persons under 18 years, percent","","27.4%",""
"Persons 65 years and over, percent","","13.1%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","78.4%",""
"Black or African American alone, percent","(a)","4.5%",""
"American Indian and Alaska Native alone, percent","(a)","2.9%",""
"Asian alone, percent","(a)","7.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%",""
"Two or More Races, percent","","6.4%",""
"Hispanic or Latino, percent","(b)","29.1%",""
"White alone, not Hispanic or Latino, percent","","54.0%",""
"Veterans, 2015-2019","","5,882",""
"Foreign born persons, percent, 2015-2019","","12.8%",""
"Housing units,  July 1, 2019,  (V2019)","","29,049",""
"Owner-occupied housing unit rate, 2015-2019","","60.5%",""
"Median value of owner-occupied housing units, 2015-2019","","$257,100",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,677",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$446",""
"Median gross rent, 2015-2019","","$1,002",""
"Building permits, 2019","","538",""
"Households, 2015-2019","","26,354",""
"Persons per household, 2015-2019","","2.84",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","83.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","25.3%",""
"Households with a computer, percent, 2015-2019","","90.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","83.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","82.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","17.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.2%",""
"Persons  without health insurance, under age 65 years, percent","","7.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","56.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","50.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","54,774",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","396,851",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","107,200",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","D",""
"Total retail sales, 2012 ($1,000)","(c)","390,218",""
"Total retail sales per capita, 2012","(c)","$5,351",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","30.0",""
"Median household income (in 2019 dollars), 2015-2019","","$58,054",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$25,583",""
"Persons in poverty, percent","","15.2%",""
"Total employer establishments, 2018","","798",""
"Total employment, 2018","","10,096",""
"Total annual payroll, 2018 ($1,000)","","471,655",""
"Total employment, percent change, 2017-2018","","-2.1%",""
"Total nonemployer establishments, 2018","","3,742",""
"All firms, 2012","","3,432",""
"Men-owned firms, 2012","","1,687",""
"Women-owned firms, 2012","","1,357",""
"Minority-owned firms, 2012","","958",""
"Nonminority-owned firms, 2012","","2,345",""
"Veteran-owned firms, 2012","","311",""
"Nonveteran-owned firms, 2012","","2,935",""
"Population per square mile, 2010","","114.2",""
"Land area in square miles, 2010","","631.84",""
"FIPS Code","","""06115""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
