0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.3%,35.3%,21.6%,42.8%,Alameda,2021-03-21,2021-03-20,2021-03-22 14:17:49
0.3%,35.3%,21.6%,42.8%,Alpine,2021-03-21,2021-03-20,2021-03-22 14:17:52
0.1%,17.1%,19.4%,63.5%,Amador,2021-03-21,2021-03-20,2021-03-22 14:17:56
0.2%,31.1%,20.3%,48.5%,Butte,2021-03-21,2021-03-20,2021-03-22 14:17:59
0.2%,14.8%,20%,65%,Calaveras,2021-03-21,2021-03-20,2021-03-22 14:18:04
0.1%,34.1%,22.6%,43.2%,Colusa,2021-03-21,2021-03-20,2021-03-22 14:18:08
0.4%,32.4%,22.8%,44.4%,Contra Costa,2021-03-21,2021-03-20,2021-03-22 14:18:11
0.1%,23.8%,23.1%,53%,Del Norte,2021-03-21,2021-03-19,2021-03-22 14:18:15
0.3%,22.5%,22.4%,54.8%,El Dorado,2021-03-21,2021-03-20,2021-03-22 14:18:19
0.3%,38.7%,24.1%,36.9%,Fresno,2021-03-21,2021-03-20,2021-03-22 14:18:22
0.1%,26.7%,21.7%,51.5%,Glenn,2021-03-21,2021-03-20,2021-03-22 14:18:26
0.1%,31.9%,18.7%,49.4%,Humboldt,2021-03-21,2021-03-20,2021-03-22 14:18:30
0.1%,37%,20.6%,42.3%,Imperial,2021-03-21,2021-03-20,2021-03-22 14:18:33
0.1%,25.8%,18.7%,55.4%,Inyo,2021-03-21,2021-03-20,2021-03-22 14:18:37
0.3%,35.3%,21.6%,42.8%,Kern,2021-03-21,2021-03-20,2021-03-22 14:18:40
0.2%,39.7%,26.5%,33.5%,Kings,2021-03-21,2021-03-20,2021-03-22 14:18:44
0.2%,23.6%,22%,54.3%,Lake,2021-03-21,2021-03-20,2021-03-22 14:18:48
0%,20.6%,22%,57.3%,Lassen,2021-03-21,2021-03-19,2021-03-22 14:18:51
0.3%,38.6%,22.1%,39%,Los Angeles,2021-03-21,2021-03-20,2021-03-22 14:18:55
0.2%,32.2%,23.9%,43.7%,Madera,2021-03-21,2021-03-20,2021-03-22 14:18:58
0.7%,27.7%,23.1%,48.5%,Marin,2021-03-21,2021-03-20,2021-03-22 14:19:02
0.1%,17.8%,19.2%,62.8%,Mariposa,2021-03-21,2021-03-20,2021-03-22 14:19:05
0.5%,32.9%,23.5%,43%,Mendocino,2021-03-21,2021-03-20,2021-03-22 14:19:09
0.3%,35.8%,24.2%,39.7%,Merced,2021-03-21,2021-03-20,2021-03-22 14:19:13
0.1%,18.6%,24.8%,56.5%,Modoc,2021-03-21,2021-03-19,2021-03-22 14:19:17
1.2%,43.8%,28.7%,26.3%,Mono,2021-03-21,2021-03-18,2021-03-22 14:19:20
0.2%,36.9%,21%,42%,Monterey,2021-03-21,2021-03-20,2021-03-22 14:19:24
0.2%,34.4%,22%,43.4%,Napa,2021-03-21,2021-03-20,2021-03-22 14:19:28
0.3%,20.2%,17.7%,61.8%,Nevada,2021-03-21,2021-03-20,2021-03-22 14:19:31
0.2%,33.3%,20.6%,45.9%,Orange,2021-03-21,2021-03-20,2021-03-22 14:19:35
0.3%,26.9%,20.1%,52.6%,Placer,2021-03-21,2021-03-20,2021-03-22 14:19:38
0.1%,19%,17.5%,63.4%,Plumas,2021-03-21,2021-03-20,2021-03-22 14:19:41
0.2%,29.9%,21.5%,48.4%,Riverside,2021-03-21,2021-03-20,2021-03-22 14:19:45
0.3%,35.4%,22.5%,41.8%,Sacramento,2021-03-21,2021-03-20,2021-03-22 14:19:49
0.1%,36.5%,22.4%,41%,San Benito,2021-03-21,2021-03-20,2021-03-22 14:19:52
0.2%,35.5%,22.8%,41.5%,San Bernardino,2021-03-21,2021-03-20,2021-03-22 14:19:56
0.2%,33.9%,19.3%,46.5%,San Diego,2021-03-21,2021-03-20,2021-03-22 14:19:59
0.2%,42.6%,21.3%,35.9%,San Francisco,2021-03-21,2021-03-20,2021-03-22 14:20:03
0.3%,33.8%,24%,41.9%,San Joaquin,2021-03-21,2021-03-20,2021-03-22 14:20:07
0.1%,24%,16%,59.9%,San Luis Obispo,2021-03-21,2021-03-20,2021-03-22 14:20:10
0.4%,36.1%,21.7%,41.9%,San Mateo,2021-03-21,2021-03-20,2021-03-22 14:20:14
0.1%,31%,17.6%,51.2%,Santa Barbara,2021-03-21,2021-03-20,2021-03-22 14:20:17
0.3%,34.3%,21%,44.4%,Santa Clara,2021-03-21,2021-03-20,2021-03-22 14:20:21
0.2%,33.6%,20.4%,45.8%,Santa Cruz,2021-03-21,2021-03-20,2021-03-22 14:20:25
0.1%,22.5%,20.5%,56.8%,Shasta,2021-03-21,2021-03-20,2021-03-22 14:20:28
0%,18.9%,27.5%,53.6%,Sierra,2021-03-21,2021-03-18,2021-03-22 14:20:32
0.4%,20%,22.3%,57.4%,Siskiyou,2021-03-21,2021-03-20,2021-03-22 14:20:35
0.3%,32.3%,24.6%,42.8%,Solano,2021-03-21,2021-03-20,2021-03-22 14:20:39
0.2%,30.6%,20.7%,48.4%,Sonoma,2021-03-21,2021-03-20,2021-03-22 14:20:42
0.5%,32.2%,24.5%,42.9%,Stanislaus,2021-03-21,2021-03-20,2021-03-22 14:20:46
0.2%,30.2%,23.7%,45.9%,Sutter,2021-03-21,2021-03-20,2021-03-22 14:20:49
0%,24.4%,23.2%,52.4%,Tehama,2021-03-21,2021-03-20,2021-03-22 14:20:53
0%,18.9%,20.7%,60.3%,Trinity,2021-03-21,2021-03-20,2021-03-22 14:20:57
0.3%,35.3%,21.6%,42.8%,Tulare,2021-03-21,2021-03-20,2021-03-22 14:21:00
0.1%,17.6%,22.3%,59.9%,Tuolumne,2021-03-21,2021-03-19,2021-03-22 14:21:04
0.3%,34.1%,21.2%,44.3%,Ventura,2021-03-21,2021-03-20,2021-03-22 14:21:07
0.3%,35.3%,21.6%,42.8%,Yolo,2021-03-21,2021-03-20,2021-03-22 14:21:11
0.1%,27.7%,22.2%,50%,Yuba,2021-03-21,2021-03-20,2021-03-22 14:21:14
