0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,39.6%,26.5%,33.4%,0.004%,Alameda,2021-04-07,2021-04-06,2021-04-08 12:29:41
0.1%,35.4%,35.0%,29.5%,0.000%,Alpine,2021-04-07,2021-04-06,2021-04-08 12:29:44
0.1%,19.2%,25.7%,55.0%,0.000%,Amador,2021-04-07,2021-04-06,2021-04-08 12:29:46
0.6%,34.7%,24.6%,40.0%,0.000%,Butte,2021-04-07,2021-04-06,2021-04-08 12:29:49
0.4%,17.0%,24.8%,57.8%,0.000%,Calaveras,2021-04-07,2021-04-06,2021-04-08 12:29:51
0.2%,37.7%,26.7%,35.4%,0.000%,Colusa,2021-04-07,2021-04-06,2021-04-08 12:29:54
0.8%,37.0%,29.5%,32.7%,0.000%,Contra Costa,2021-04-07,2021-04-06,2021-04-08 12:29:56
0.1%,25.4%,27.1%,47.4%,0.000%,Del Norte,2021-04-07,2021-04-06,2021-04-08 12:29:59
0.5%,25.5%,28.0%,46.0%,0.000%,El Dorado,2021-04-07,2021-04-06,2021-04-08 12:30:01
0.6%,41.9%,26.4%,31.2%,0.000%,Fresno,2021-04-07,2021-04-06,2021-04-08 12:30:04
0.3%,31.5%,26.9%,41.3%,0.000%,Glenn,2021-04-07,2021-04-06,2021-04-08 12:30:07
0.3%,36.6%,22.7%,40.4%,0.000%,Humboldt,2021-04-07,2021-04-06,2021-04-08 12:30:09
0.3%,41.1%,25.3%,33.3%,0.000%,Imperial,2021-04-07,2021-04-06,2021-04-08 12:30:12
0.3%,28.3%,24.9%,46.5%,0.000%,Inyo,2021-04-07,2021-04-06,2021-04-08 12:30:14
0.9%,41.0%,26.8%,31.3%,0.000%,Kern,2021-04-07,2021-04-06,2021-04-08 12:30:17
0.5%,43.4%,28.9%,27.2%,0.000%,Kings,2021-04-07,2021-04-06,2021-04-08 12:30:19
0.2%,24.7%,27.7%,47.3%,0.000%,Lake,2021-04-07,2021-04-06,2021-04-08 12:30:22
0.1%,23.8%,27.1%,49.0%,0.000%,Lassen,2021-04-07,2021-04-06,2021-04-08 12:30:24
0.6%,42.7%,27.0%,29.7%,0.000%,Los Angeles,2021-04-07,2021-04-06,2021-04-08 12:30:27
0.4%,35.5%,26.5%,37.5%,0.000%,Madera,2021-04-07,2021-04-06,2021-04-08 12:30:29
1.2%,32.8%,28.7%,37.3%,0.000%,Marin,2021-04-07,2021-04-06,2021-04-08 12:30:32
0.2%,19.5%,25.3%,55.0%,0.02%,Mariposa,2021-04-07,2021-04-06,2021-04-08 12:30:35
0.6%,32.2%,24.4%,42.7%,0.000%,Mendocino,2021-04-07,2021-04-06,2021-04-08 12:30:37
0.6%,39.6%,26.5%,33.4%,0.004%,Merced,2021-04-07,2021-04-06,2021-04-08 12:30:40
0.1%,20.3%,26.6%,53.0%,0.000%,Modoc,2021-04-07,2021-04-06,2021-04-08 12:30:43
