Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
54.4%,45.2%,0.4%,Alameda,2021-04-14,2021-04-13,2021-04-15 14:19:48
47.1%,52.7%,0.2%,Alpine,2021-04-14,2021-04-09,2021-04-15 14:19:50
55.1%,44.7%,0.2%,Amador,2021-04-14,2021-04-13,2021-04-15 14:19:53
55.4%,44.5%,0.1%,Butte,2021-04-14,2021-04-13,2021-04-15 14:19:55
53.9%,45.5%,0.7%,Calaveras,2021-04-14,2021-04-13,2021-04-15 14:19:57
50.4%,49.0%,0.6%,Colusa,2021-04-14,2021-04-13,2021-04-15 14:20:00
54.9%,45.0%,0.1%,Contra Costa,2021-04-14,2021-04-13,2021-04-15 14:20:02
53.5%,46.3%,0.1%,Del Norte,2021-04-14,2021-04-13,2021-04-15 14:20:04
54.6%,45.3%,0.1%,El Dorado,2021-04-14,2021-04-13,2021-04-15 14:20:07
54.9%,45.1%,0.1%,Fresno,2021-04-14,2021-04-13,2021-04-15 14:20:09
54.4%,45.6%,0.1%,Glenn,2021-04-14,2021-04-13,2021-04-15 14:20:12
55.4%,44.4%,0.2%,Humboldt,2021-04-14,2021-04-13,2021-04-15 14:20:14
52.9%,47.1%,0.04%,Imperial,2021-04-14,2021-04-13,2021-04-15 14:20:16
51.9%,48.0%,0.1%,Inyo,2021-04-14,2021-04-13,2021-04-15 14:20:19
54.2%,45.3%,0.6%,Kern,2021-04-14,2021-04-13,2021-04-15 14:20:21
54.2%,45.5%,0.4%,Kings,2021-04-14,2021-04-13,2021-04-15 14:20:24
54.0%,45.9%,0.1%,Lake,2021-04-14,2021-04-13,2021-04-15 14:20:26
52.1%,47.7%,0.2%,Lassen,2021-04-14,2021-04-13,2021-04-15 14:20:28
54.5%,45.2%,0.2%,Los Angeles,2021-04-14,2021-04-13,2021-04-15 14:20:31
54.2%,45.8%,0.1%,Madera,2021-04-14,2021-04-13,2021-04-15 14:20:33
55.0%,45.0%,0.1%,Marin,2021-04-14,2021-04-13,2021-04-15 14:20:36
53.6%,46.1%,0.3%,Mariposa,2021-04-14,2021-04-13,2021-04-15 14:20:38
53.3%,46.3%,0.4%,Mendocino,2021-04-14,2021-04-13,2021-04-15 14:20:40
54.6%,45.0%,0.4%,Merced,2021-04-14,2021-04-13,2021-04-15 14:20:43
52.6%,47.4%,0.000%,Modoc,2021-04-14,2021-04-13,2021-04-15 14:20:45
47.8%,52.2%,0.01%,Mono,2021-04-14,2021-04-13,2021-04-15 14:20:47
52.7%,45.7%,1.6%,Monterey,2021-04-14,2021-04-13,2021-04-15 14:20:50
53.0%,47.0%,0.1%,Napa,2021-04-14,2021-04-13,2021-04-15 14:20:52
55.2%,44.7%,0.1%,Nevada,2021-04-14,2021-04-13,2021-04-15 14:20:54
54.1%,44.7%,1.1%,Orange,2021-04-14,2021-04-13,2021-04-15 14:20:57
56.0%,44.0%,0.1%,Placer,2021-04-14,2021-04-13,2021-04-15 14:20:59
53.5%,46.4%,0.1%,Plumas,2021-04-14,2021-04-13,2021-04-15 14:21:01
54.3%,45.6%,0.1%,Riverside,2021-04-14,2021-04-13,2021-04-15 14:21:03
56.2%,43.7%,0.2%,Sacramento,2021-04-14,2021-04-13,2021-04-15 14:21:06
54.5%,45.2%,0.2%,San Benito,2021-04-14,2021-04-13,2021-04-15 14:21:08
55.5%,44.3%,0.2%,San Bernardino,2021-04-14,2021-04-13,2021-04-15 14:21:11
55.5%,43.6%,0.9%,San Diego,2021-04-14,2021-04-13,2021-04-15 14:21:13
51.2%,48.5%,0.3%,San Francisco,2021-04-14,2021-04-13,2021-04-15 14:21:16
55.0%,44.0%,0.9%,San Joaquin,2021-04-14,2021-04-13,2021-04-15 14:21:18
55.1%,44.7%,0.2%,San Luis Obispo,2021-04-14,2021-04-13,2021-04-15 14:21:20
54.8%,45.1%,0.1%,San Mateo,2021-04-14,2021-04-13,2021-04-15 14:21:23
54.1%,45.8%,0.1%,Santa Barbara,2021-04-14,2021-04-13,2021-04-15 14:21:25
53.9%,46.1%,0.1%,Santa Clara,2021-04-14,2021-04-13,2021-04-15 14:21:27
55.0%,44.7%,0.3%,Santa Cruz,2021-04-14,2021-04-13,2021-04-15 14:21:30
56.5%,43.4%,0.1%,Shasta,2021-04-14,2021-04-13,2021-04-15 14:21:32
52.3%,47.6%,0.1%,Sierra,2021-04-14,2021-04-12,2021-04-15 14:21:35
54.3%,45.6%,0.1%,Siskiyou,2021-04-14,2021-04-13,2021-04-15 14:21:37
55.8%,43.7%,0.5%,Solano,2021-04-14,2021-04-13,2021-04-15 14:21:40
55.2%,44.7%,0.1%,Sonoma,2021-04-14,2021-04-13,2021-04-15 14:21:42
55.3%,44.3%,0.5%,Stanislaus,2021-04-14,2021-04-13,2021-04-15 14:21:45
54.8%,45.1%,0.2%,Sutter,2021-04-14,2021-04-13,2021-04-15 14:21:47
55.0%,44.8%,0.1%,Tehama,2021-04-14,2021-04-13,2021-04-15 14:21:49
49.9%,50.0%,0.1%,Trinity,2021-04-14,2021-04-13,2021-04-15 14:21:52
54.3%,45.7%,0.1%,Tulare,2021-04-14,2021-04-13,2021-04-15 14:21:54
54.4%,45.5%,0.1%,Tuolumne,2021-04-14,2021-04-13,2021-04-15 14:21:56
54.6%,45.3%,0.05%,Ventura,2021-04-14,2021-04-13,2021-04-15 14:21:59
54.4%,45.2%,0.4%,Yolo,2021-04-14,2021-04-13,2021-04-15 14:22:01
55.9%,44.0%,0.1%,Yuba,2021-04-14,2021-04-13,2021-04-15 14:22:03
