,County,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
0,Lassen,"30,573","34,895",-12.4%,"34,895",4.8%,17.3%,15.5%,37.8%,80.9%,8.4%,4.3%,1.6%,0.9%,4.0%,19.3%,64.7%,"1,984",5.6%,"12,784",67.6%,"$203,000","$1,449",$389,$956,12,"9,280",2.26,73.5%,18.4%,85.2%,78.8%,83.2%,12.9%,13.3%,4.8%,34.6%,49.4%,"35,984","84,085",X,D,"215,837","$6,413",20.6,"$56,352","$22,134",16.5%,406,"3,480","134,114",-2.2%,"1,116","1,236",564,410,231,938,97,"1,025",7.7,"4,541.18","""06035"""
1,Amador,"39,752","38,091",4.4%,"38,091",4.1%,15.1%,27.5%,45.6%,89.6%,2.7%,2.3%,1.7%,0.3%,3.4%,14.5%,77.3%,"3,810",6.0%,"18,625",76.5%,"$313,700","$1,774",$561,"$1,103",119,"14,594",2.38,87.7%,10.6%,90.8%,84.6%,90.0%,19.3%,12.6%,6.0%,44.1%,45.2%,"242,022","147,701","139,631",D,"321,498","$8,681",32.7,"$62,772","$31,987",9.8%,831,"8,205","322,707",0.1%,"2,835","2,807","1,383",921,259,"2,453",258,"2,363",64.1,594.58,"""06005"""
2,Sierra,"3,005","3,239",-7.2%,"3,240",4.6%,16.5%,32.0%,49.8%,92.6%,0.7%,2.6%,0.9%,0.1%,3.1%,12.7%,82.1%,292,2.3%,"2,368",75.4%,"$231,400","$1,525",$548,$972,7,"1,319",2.28,94.7%,9.7%,80.7%,74.8%,92.4%,17.9%,12.7%,7.1%,51.7%,50.7%,D,D,D,D,"5,072","$1,644",30.6,"$52,148","$33,747",12.7%,69,188,"8,054",-10.0%,259,269,183,64,F,242,F,222,3.4,953.21,"""06091"""
3,Inyo,"18,039","18,542",-2.7%,"18,546",5.5%,20.7%,23.4%,49.9%,79.8%,1.2%,13.5%,1.7%,0.2%,3.6%,23.4%,60.8%,"1,526",9.3%,"9,609",65.5%,"$269,100","$1,873",$483,$919,8,"7,950",2.18,88.5%,17.2%,91.6%,80.3%,88.6%,27.2%,6.6%,7.8%,58.3%,56.6%,"99,615","121,556",D,D,"229,032","$12,383",16.5,"$57,316","$32,590",11.7%,504,"5,190","211,129",0.3%,"1,299","1,717",732,591,362,"1,256",98,"1,552",1.8,"10,180.88","""06027"""
4,Modoc,"8,841","9,682",-8.7%,"9,686",4.8%,19.4%,27.5%,49.7%,88.2%,1.4%,5.1%,1.2%,0.4%,3.7%,14.6%,77.2%,780,7.5%,"5,276",74.9%,"$140,600","$1,149",$334,$717,6,"3,616",2.33,83.0%,12.8%,78.3%,69.7%,84.8%,15.2%,8.9%,9.4%,43.9%,44.5%,"8,304","33,918",D,D,"45,741","$4,904",16.1,"$45,507","$22,843",20.5%,154,"1,137","45,228",-8.3%,590,427,162,194,55,350,40,347,2.5,"3,917.77","""06049"""
5,Colusa,"21,547","21,407",0.7%,"21,419",6.9%,27.1%,14.9%,49.1%,91.1%,1.3%,2.8%,1.6%,0.6%,2.7%,60.4%,34.1%,830,27.0%,"8,125",61.0%,"$265,200","$1,590",$458,$889,37,"7,227",2.94,87.8%,51.7%,86.8%,81.0%,71.3%,15.0%,8.9%,11.5%,62.3%,54.7%,"97,807","41,246","474,519","428,726","127,885","$5,973",25.7,"$59,401","$26,932",12.0%,378,"4,055","181,095",4.5%,"1,051","1,138",539,306,397,656,55,944,18.6,"1,150.73","""06011"""
6,Merced,"277,680","255,796",8.6%,"255,793",7.7%,29.3%,11.4%,49.5%,82.2%,3.9%,2.5%,7.8%,0.4%,3.2%,61.0%,26.5%,"9,225",26.3%,"86,388",52.2%,"$252,700","$1,493",$460,"$1,021",948,"80,008",3.32,86.6%,53.3%,91.1%,83.9%,69.1%,13.8%,9.1%,9.0%,59.6%,51.0%,"232,910","788,114","4,435,633","2,260,180","1,959,473","$7,470",28.6,"$53,672","$23,011",17.0%,"3,140","46,063","1,776,766",0.8%,"11,717","12,848","7,163","4,071","6,912","5,448","1,060","11,149",132.2,"1,934.97","""06047"""
7,Trinity,"12,285","13,784",-10.9%,"13,786",4.6%,17.3%,28.3%,48.6%,87.0%,0.8%,5.2%,1.5%,0.2%,5.3%,7.4%,81.9%,"1,150",4.7%,"9,013",68.9%,"$287,700","$1,454",$355,$799,16,"5,939",2.09,88.7%,8.6%,81.6%,67.8%,92.4%,19.5%,13.0%,9.0%,45.3%,43.9%,"13,381","27,947",D,D,"72,655","$5,372",21.6,"$40,846","$26,523",16.5%,246,"1,537","60,871",-3.1%,915,"1,123",543,434,214,838,240,805,4.3,"3,179.25","""06105"""
8,El Dorado,"192,843","181,058",6.5%,"181,058",4.6%,19.8%,21.9%,50.1%,88.6%,1.0%,1.3%,4.8%,0.2%,3.9%,13.2%,77.2%,"13,604",9.2%,"91,660",75.7%,"$460,900","$2,281",$655,"$1,260",596,"70,974",2.63,85.2%,12.2%,94.1%,87.2%,93.4%,34.3%,8.5%,5.7%,57.9%,53.2%,"319,784","680,939","517,354","316,707","1,597,758","$8,849",30.0,"$83,377","$42,749",8.7%,"4,602","46,655","2,300,251",1.1%,"17,441","16,711","8,514","5,445","2,340","13,840","1,659","14,367",106.0,"1,707.88","""06017"""
9,Tulare,"466,195","442,182",5.4%,"442,179",7.8%,30.5%,11.6%,50.0%,88.2%,2.2%,2.8%,4.0%,0.2%,2.7%,65.6%,27.7%,"14,633",21.8%,"151,603",57.1%,"$205,000","$1,420",$421,$942,"1,872","138,238",3.30,88.6%,51.3%,87.6%,77.7%,70.8%,14.6%,8.2%,9.0%,59.0%,51.1%,"451,880","1,610,236","8,362,447","3,890,547","3,903,527","$8,637",22.6,"$49,687","$21,380",18.9%,"6,470","97,726","3,949,277",1.1%,"21,098","23,310","12,168","8,115","11,023","11,406","1,677","20,452",91.7,"4,824.22","""06107"""
