,County,Latino Pop,Latino Vax
0,Lassen,0.193,0.068
1,Amador,0.145,0.07200000000000001
2,Sierra,0.127,0.08
3,Inyo,0.23399999999999999,0.091
4,Modoc,0.146,0.07400000000000001
5,Colusa,0.604,0.27399999999999997
6,Merced,0.61,0.331
7,Trinity,0.07400000000000001,0.023
8,El Dorado,0.132,0.193
9,Tulare,0.6559999999999999,0.436
10,Yuba,0.29100000000000004,0.172
11,Calaveras,0.13,0.047
12,Monterey,0.594,0.35200000000000004
13,Shasta,0.105,0.032
14,San Francisco,0.152,0.107
15,Napa,0.34600000000000003,0.17800000000000002
16,Siskiyou,0.132,0.062
17,Fresno,0.5379999999999999,0.314
18,San Luis Obispo,0.22899999999999998,0.068
19,Sonoma,0.273,0.135
20,San Joaquin,0.42,0.149
21,Sutter,0.319,0.165
22,Butte,0.172,0.07400000000000001
23,Alameda,0.223,0.10300000000000001
24,Alpine,0.12300000000000001,0.006
25,Sacramento,0.23600000000000002,0.193
26,San Diego,0.341,0.2
27,Tehama,0.258,0.107
28,Mariposa,0.121,0.073
29,San Mateo,0.24,0.099
30,Lake,0.22,0.16
31,Mono,0.268,0.214
32,Orange,0.34,0.128
33,Los Angeles,0.486,0.247
34,Santa Barbara,0.46,0.21100000000000002
35,Stanislaus,0.47600000000000003,0.25
36,Mendocino,0.258,0.16699999999999998
37,Imperial,0.85,0.662
38,Marin,0.163,0.09300000000000001
39,Plumas,0.09300000000000001,0.021
40,Yolo,0.319,0.129
41,Riverside,0.5,0.23800000000000002
42,Solano,0.273,0.087
43,Contra Costa,0.26,0.125
44,Del Norte,0.201,0.05
45,Placer,0.14400000000000002,0.08900000000000001
46,San Bernardino,0.544,0.272
47,Santa Clara,0.25,0.114
48,Ventura,0.43200000000000005,0.275
49,Tuolumne,0.127,0.045
50,Kern,0.546,0.31
51,Santa Cruz,0.34,0.2
52,Glenn,0.425,0.209
53,Kings,0.5529999999999999,0.409
54,Nevada,0.098,0.052000000000000005
55,Madera,0.588,0.32799999999999996
56,Humboldt,0.121,0.06
57,San Benito,0.608,0.29
