American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.6%,5.6%,10.3%,10.3%,0.5%,25.1%,8.8%,18.6%,Alameda,2021-03-26,2021-03-25,2021-03-27 02:39:59
1.7%,0.6%,0.3%,0.6%,0.3%,0.0%,17.8%,0.9%,77.9%,Alpine,2021-03-26,2021-03-25,2021-03-27 02:40:02
0.8%,1.5%,0.3%,7.2%,4.0%,0.3%,67.1%,8.8%,9.9%,Amador,2021-03-26,2021-03-25,2021-03-27 02:40:04
1.1%,2.2%,0.7%,7.4%,15.8%,0.1%,56.6%,8.0%,8.0%,Butte,2021-03-26,2021-03-25,2021-03-27 02:40:07
0.4%,1.1%,0.4%,4.7%,1.4%,0.2%,54.2%,8.7%,29.0%,Calaveras,2021-03-26,2021-03-25,2021-03-27 02:40:09
1.1%,0.7%,0.4%,27.4%,5.5%,0.1%,32.4%,5.5%,26.8%,Colusa,2021-03-26,2021-03-25,2021-03-27 02:40:12
0.2%,10.8%,4.5%,12.5%,11.1%,0.6%,34.3%,7.8%,18.3%,Contra Costa,2021-03-26,2021-03-25,2021-03-27 02:40:14
6.8%,1.7%,0.5%,5.0%,7.8%,0.1%,60.9%,2.7%,14.5%,Del Norte,2021-03-26,2021-03-25,2021-03-27 02:40:17
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,El Dorado,2021-03-26,2021-03-25,2021-03-27 02:40:19
0.5%,6.9%,2.1%,31.4%,9.0%,0.2%,28.8%,7.8%,13.3%,Fresno,2021-03-26,2021-03-25,2021-03-27 02:40:22
2.2%,1.2%,0.2%,20.9%,8.3%,0.1%,43.9%,10.5%,12.6%,Glenn,2021-03-26,2021-03-25,2021-03-27 02:40:24
3.3%,1.3%,0.7%,6.0%,13.7%,0.2%,64.1%,3.1%,7.6%,Humboldt,2021-03-26,2021-03-25,2021-03-27 02:40:27
0.1%,0.7%,0.4%,66.2%,2.1%,0.1%,9.7%,6.6%,14.1%,Imperial,2021-03-26,2021-03-25,2021-03-27 02:40:29
1.0%,1.0%,0.2%,9.1%,21.3%,0.2%,53.8%,5.1%,8.4%,Inyo,2021-03-26,2021-03-25,2021-03-27 02:40:31
0.4%,4.1%,2.4%,31.0%,11.3%,0.3%,29.0%,11.4%,10.3%,Kern,2021-03-26,2021-03-25,2021-03-27 02:40:34
0.7%,2.6%,2.0%,40.9%,6.6%,0.2%,27.2%,6.3%,13.5%,Kings,2021-03-26,2021-03-25,2021-03-27 02:40:36
1.7%,1.1%,1.2%,16.0%,14.6%,0.1%,55.5%,3.5%,6.3%,Lake,2021-03-26,2021-03-25,2021-03-27 02:40:39
1.1%,1.4%,0.7%,6.8%,7.5%,0.3%,59.8%,3.7%,18.7%,Lassen,2021-03-26,2021-03-25,2021-03-27 02:40:41
0.2%,12.4%,4.4%,24.7%,16.4%,0.4%,19.6%,14.4%,7.5%,Los Angeles,2021-03-26,2021-03-25,2021-03-27 02:40:44
0.9%,1.8%,1.5%,32.8%,6.5%,0.1%,33.8%,8.3%,14.3%,Madera,2021-03-26,2021-03-25,2021-03-27 02:40:46
0.1%,3.9%,1.0%,9.3%,11.3%,0.2%,49.5%,6.4%,18.3%,Marin,2021-03-26,2021-03-25,2021-03-27 02:40:48
1.9%,0.8%,0.3%,7.3%,2.4%,0.1%,62.0%,5.1%,20.2%,Mariposa,2021-03-26,2021-03-25,2021-03-27 02:40:51
0.8%,1.3%,0.3%,16.7%,13.6%,0.2%,50.3%,5.6%,11.3%,Mendocino,2021-03-26,2021-03-25,2021-03-27 02:40:53
0.3%,5.9%,1.6%,33.1%,0.5%,0.3%,25.8%,8.6%,24.1%,Merced,2021-03-26,2021-03-25,2021-03-27 02:40:55
2.2%,1.5%,1.0%,7.4%,4.6%,0.1%,71.2%,1.9%,10.0%,Modoc,2021-03-26,2021-03-25,2021-03-27 02:40:58
0.4%,1.3%,0.3%,21.4%,10.3%,0.1%,58.0%,1.7%,6.4%,Mono,2021-03-26,2021-03-25,2021-03-27 02:41:00
0.2%,4.3%,1.1%,35.2%,10.4%,0.5%,27.0%,7.3%,14.0%,Monterey,2021-03-26,2021-03-25,2021-03-27 02:41:02
0.2%,4.1%,0.9%,17.8%,6.8%,0.4%,40.6%,6.2%,23.0%,Napa,2021-03-26,2021-03-25,2021-03-27 02:41:05
0.7%,0.7%,0.2%,5.2%,16.5%,0.1%,61.9%,6.2%,8.5%,Nevada,2021-03-26,2021-03-25,2021-03-27 02:41:07
0.1%,18.2%,0.9%,12.8%,14.7%,0.3%,31.5%,10.6%,10.9%,Orange,2021-03-26,2021-03-25,2021-03-27 02:41:10
0.4%,5.3%,0.9%,8.9%,12.3%,0.4%,45.7%,7.9%,18.3%,Placer,2021-03-26,2021-03-25,2021-03-27 02:41:12
0.9%,0.6%,0.3%,2.1%,6.3%,0.0%,73.8%,3.6%,12.4%,Plumas,2021-03-26,2021-03-25,2021-03-27 02:41:14
0.3%,5.7%,3.7%,23.8%,13.3%,0.3%,32.4%,12.4%,8.1%,Riverside,2021-03-26,2021-03-25,2021-03-27 02:41:17
0.3%,11.8%,3.0%,19.3%,11.2%,0.4%,30.2%,10.9%,12.9%,Sacramento,2021-03-26,2021-03-25,2021-03-27 02:41:19
0.2%,2.1%,0.6%,29.0%,4.6%,0.2%,22.2%,10.5%,30.7%,San Benito,2021-03-26,2021-03-25,2021-03-27 02:41:21
0.2%,8.9%,4.8%,27.2%,12.6%,0.4%,25.4%,12.3%,8.1%,San Bernardino,2021-03-26,2021-03-25,2021-03-27 02:41:24
0.4%,11.7%,2.4%,20.0%,0.5%,0.6%,46.2%,9.4%,8.8%,San Diego,2021-03-26,2021-03-25,2021-03-27 02:41:26
0.2%,28.7%,3.1%,10.7%,7.4%,0.3%,26.3%,5.9%,17.4%,San Francisco,2021-03-26,2021-03-25,2021-03-27 02:41:29
0.4%,10.6%,3.6%,14.9%,2.0%,0.9%,24.2%,15.3%,28.3%,San Joaquin,2021-03-26,2021-03-25,2021-03-27 02:41:31
0.2%,1.2%,0.4%,6.8%,11.6%,0.1%,30.5%,14.8%,34.3%,San Luis Obispo,2021-03-26,2021-03-25,2021-03-27 02:41:33
0.2%,18.3%,1.1%,9.9%,13.6%,0.5%,28.8%,10.0%,17.5%,San Mateo,2021-03-26,2021-03-25,2021-03-27 02:41:36
0.3%,2.7%,0.8%,21.1%,17.4%,0.2%,34.4%,14.1%,9.2%,Santa Barbara,2021-03-26,2021-03-25,2021-03-27 02:41:38
0.1%,24.9%,1.4%,11.4%,12.4%,0.4%,24.1%,8.4%,16.9%,Santa Clara,2021-03-26,2021-03-25,2021-03-27 02:41:40
0.2%,2.0%,0.4%,20.0%,15.3%,0.1%,40.8%,9.9%,11.4%,Santa Cruz,2021-03-26,2021-03-25,2021-03-27 02:41:43
0.7%,1.3%,0.4%,3.2%,20.4%,0.1%,45.4%,13.1%,15.4%,Shasta,2021-03-26,2021-03-25,2021-03-27 02:41:45
