county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag
Nevada,2020-12-16,3,3,3,3,0,0,0,0,3,3,0,0,3,3,California
Nevada,2020-12-17,6,9,6,9,0,0,0,0,6,9,0,0,6,9,California
Nevada,2020-12-18,51,60,51,60,0,0,0,0,51,60,0,0,51,60,California
Nevada,2020-12-19,55,115,55,115,0,0,0,0,55,115,0,0,55,115,California
Nevada,2020-12-20,12,127,12,127,0,0,0,0,12,127,0,0,12,127,California
Nevada,2020-12-21,69,196,69,196,0,0,0,0,69,196,0,0,69,196,California
Nevada,2020-12-22,91,287,89,285,2,2,0,0,91,287,0,0,91,287,California
Nevada,2020-12-23,234,521,202,487,32,34,0,0,234,521,0,0,234,521,California
Nevada,2020-12-24,15,536,12,499,3,37,0,0,15,536,0,0,15,536,California
Nevada,2020-12-25,2,538,2,501,0,37,0,0,2,538,0,0,2,538,California
Nevada,2020-12-26,5,543,3,504,2,39,0,0,5,543,0,0,5,543,California
Nevada,2020-12-27,88,631,88,592,0,39,0,0,88,631,0,0,88,631,California
Nevada,2020-12-28,170,801,93,685,77,116,0,0,170,801,0,0,170,801,California
Nevada,2020-12-29,101,902,75,760,26,142,0,0,101,902,0,0,101,902,California
Nevada,2020-12-30,85,987,66,826,19,161,0,0,85,987,0,0,85,987,California
Nevada,2020-12-31,39,1026,9,835,30,191,0,0,39,1026,0,0,39,1026,California
Nevada,2021-01-01,1,1027,0,835,1,192,0,0,1,1027,0,0,1,1027,California
Nevada,2021-01-02,1,1028,1,836,0,192,0,0,1,1028,0,0,1,1028,California
Nevada,2021-01-03,128,1156,126,962,2,194,0,0,128,1156,0,0,128,1156,California
Nevada,2021-01-04,71,1227,47,1009,24,218,0,0,71,1227,0,0,71,1227,California
Nevada,2021-01-05,272,1499,130,1139,142,360,0,0,271,1497,1,1,271,1498,California
Nevada,2021-01-06,93,1592,44,1183,49,409,0,0,85,1574,8,9,85,1583,California
Nevada,2021-01-07,217,1809,43,1226,174,583,0,0,209,1778,6,15,210,1793,California
Nevada,2021-01-08,220,2029,127,1353,93,676,0,0,169,1896,51,66,169,1962,California
Nevada,2021-01-09,63,2092,56,1409,7,683,0,0,15,1863,48,114,15,1977,California
Nevada,2021-01-10,17,2109,9,1418,8,691,0,0,9,1864,8,122,9,1986,California
Nevada,2021-01-11,183,2292,130,1548,53,744,0,0,56,1793,127,249,56,2042,California
Nevada,2021-01-12,606,2898,458,2006,148,892,0,0,538,2263,68,317,538,2580,California
Nevada,2021-01-13,257,3155,144,2150,113,1005,0,0,122,2250,135,452,122,2702,California
Nevada,2021-01-14,229,3384,123,2273,106,1111,0,0,211,2444,17,469,211,2913,California
Nevada,2021-01-15,393,3777,170,2443,223,1334,0,0,295,2641,98,567,295,3208,California
Nevada,2021-01-16,292,4069,13,2456,279,1613,0,0,289,2927,3,570,289,3497,California
Nevada,2021-01-17,36,4105,32,2488,4,1617,0,0,33,2957,3,573,33,3530,California
Nevada,2021-01-18,148,4253,40,2528,108,1725,0,0,138,3085,10,583,138,3668,California
Nevada,2021-01-19,231,4484,82,2610,149,1874,0,0,213,3280,18,601,213,3881,California
